Rating Agency,Company,Rating,Date,CIK,Binary Rating,SIC Code,Sector,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share
"Japan Credit Rating Agency,Ltd.",POSCO,AA-,2016-12-27,889132,1,3312.0,Manuf,PKX,1.4496,0.2218,0.5596,11.2287,4.1415,4.1415,9.6719,0.3106,0.2537,0.7237,-0.2134,-0.2488,-0.1196,-0.1661,10.6925,14.4425
Standard & Poor's Ratings Services,STMicroelectronics N.V.,BBB-,2016-12-02,932787,1,3674.0,BusEq,STM,2.8601,0.2403,0.3563,33.7385,2.269,2.269,13.3576,1.4317,1.7288,0.8223,2.5519,2.6987,1.4327,1.9387,0.3921,0.4316
Standard & Poor's Ratings Services,IDACORP Inc.,A,2016-12-02,1057877,1,4911.0,Utils,IDA,1.9068,0.4556,0.847,66.1914,22.2073,22.2073,33.4316,18.9118,15.3256,0.2109,9.4312,9.4312,3.2287,5.1347,-0.2351,-0.6212
Standard & Poor's Ratings Services,Teleflex Incorporated,BB,2016-12-02,96943,0,3841.0,Hlth,TFX,1.5115,0.2419,0.5267,52.1859,17.4555,17.4555,24.3813,13.5187,13.5307,0.4674,11.7751,-48.8532,6.1163,8.9262,0.0684,0.2438
Standard & Poor's Ratings Services,Colfax Corp.,BB+,2016-12-01,1420800,0,3540.0,Manuf,CFX,1.5505,0.3024,0.4353,31.2049,7.7342,7.7342,12.2341,6.3511,4.8842,0.5101,5.4337,-31.7774,2.6281,3.7905,-0.7118,-0.5829
Standard & Poor's Ratings Services,NIKE Inc.,AAA,2016-12-01,320187,1,3021.0,Manuf,NKE,2.8042,0.1398,0.1663,46.241,13.9054,13.9054,15.9501,14.2791,11.6135,1.5144,30.6739,31.7407,17.5874,26.3841,-0.6953,-0.8027
Standard & Poor's Ratings Services,Flex Ltd.,BBB-,2016-12-01,866374,1,3672.0,BusEq,FLEX,1.2652,0.5098,1.0649,6.5853,2.4047,2.4047,4.5152,1.862,1.8186,1.9717,17.0438,35.2526,3.5856,8.3554,0.6696,0.1951
Standard & Poor's Ratings Services,Plains All American Pipeline L.P.,BBB-,2016-11-30,1070423,1,5171.0,Shops,PAA,0.8714,0.5665,1.4327,8.5176,5.4509,5.4509,7.3169,4.3452,1.3174,1.0388,11.412,16.3715,4.065,4.947,-2.0016,-2.0791
Standard & Poor's Ratings Services,"Casa Systems, Inc.",BB-,2016-11-30,1333835,0,3576.0,BusEq,CASA,3.2302,0.0836,0.0945,70.7785,37.8312,37.8312,39.7211,37.3144,10.0209,0.9624,82.3704,82.3705,23.9921,75.4837,-1.2126,-1.4887
Standard & Poor's Ratings Services,"International Seaways, Inc.",BB-,2016-11-30,1679049,0,4412.0,Other,INSW,8.1941,0.2985,0.4301,59.2932,44.5856,44.5856,62.1664,34.8268,34.7987,0.2451,12.5142,12.5142,8.5308,8.7782,16.3266,14.9246
Standard & Poor's Ratings Services,Allegiant Travel Company,BB-,2016-11-30,1362468,0,4512.0,Other,ALGT,1.198,0.6458,2.0023,32.3727,13.8381,13.8381,21.3684,12.0603,7.6241,0.9206,29.3483,29.3483,6.9876,10.3948,4.8363,-1.5589
Standard & Poor's Ratings Services,DTE Energy Center LLC,A,2016-11-30,936340,1,4931.0,Utils,DTE,1.0186,0.499,1.1065,46.1933,11.9861,11.9861,20.6733,9.1903,7.033,0.3607,8.1865,10.7656,2.512,4.1014,0.2802,0.3173
Standard & Poor's Ratings Services,Vector Group Ltd.,BB-,2016-11-29,59440,0,6531.0,Money,VGR,2.6988,1.1391,-8.2602,33.0359,12.0638,12.0638,13.6118,6.4992,3.4665,1.2941,-54.4134,-17.2154,5.1906,7.5709,0.1922,0.2936
Standard & Poor's Ratings Services,Alibaba Group Holding Limited,A+,2016-11-29,1577552,1,7370.0,BusEq,BABA,2.5761,0.1765,0.2315,66.0334,29.2235,29.2235,35.8473,80.5495,70.6554,0.2775,28.5685,44.6545,19.5609,23.5274,0.7811,0.7596
Standard & Poor's Ratings Services,HudBay Minerals Inc.,B,2016-11-28,1322422,0,1000.0,Other,HBM,1.1526,0.4027,0.7133,13.3586,-37.0667,-37.0667,-12.5064,-45.0359,-37.4051,0.1978,-18.5436,-18.636,-7.3986,-11.0761,-0.4739,1.6841
Standard & Poor's Ratings Services,Carpenter Technology Corp.,BBB-,2016-11-28,17843,1,3312.0,Manuf,CRS,3.3825,0.3562,0.5533,14.1116,2.8455,2.8455,10.1136,1.1856,0.6176,0.649,1.0227,1.418,0.4044,0.6584,-0.0222,1.2633
"Japan Credit Rating Agency,Ltd.",Orange,A-,2016-11-25,1038143,1,4813.0,Telcm,ORAN,0.7226,0.4819,1.0843,56.2657,12.9624,12.9624,28.2698,7.4357,3.4478,0.4462,4.3107,-27.9227,1.5458,2.2335,0.4744,0.8322
Standard & Poor's Ratings Services,Danaher Corp.,AA,2016-11-23,313616,1,3826.0,BusEq,DHR,1.7477,0.1267,0.1481,53.2335,15.8935,15.8935,21.4745,16.2137,20.1945,0.3478,6.9881,228.5177,4.4299,6.1029,0.2058,0.3127
Standard & Poor's Ratings Services,"SiteOne Landscape Supply Holding, LLC",BB-,2016-11-23,1650729,0,5080.0,Shops,SITE,3.0539,0.6772,2.1503,29.5605,4.1196,4.1196,6.4756,3.3343,-1.0196,2.1708,32.9157,-44.8062,4.3218,10.625,1.1827,0.7618
Standard & Poor's Ratings Services,Rent-A-Center Inc.,B,2016-11-23,933036,0,7350.0,Other,RCII,3.3223,0.7136,2.4918,64.6076,-30.7431,-30.7431,29.377,-32.2283,-29.0847,1.6604,-248.5779,-561.9155,-48.2925,-71.1889,3.9945,4.0757
Standard & Poor's Ratings Services,Alliant Energy Corp.,A,2016-11-22,352541,1,4931.0,Utils,LNT,0.8587,0.4961,1.0736,64.0331,16.2254,16.2254,29.4272,13.1332,11.4348,0.2777,11.5012,10.8694,3.2801,5.477,0.723,0.2404
Standard & Poor's Ratings Services,Amcor Ltd.,BBB,2016-11-22,1748790,1,2670.0,Manuf,AMCR,1.8995,0.5286,1.1507,21.4521,10.0604,10.0604,13.9436,8.938,5.8776,1.1667,20.0348,223.7741,6.9316,9.4444,0.6257,0.5448
Standard & Poor's Ratings Services,CNH Industrial N.V.,BB+,2016-11-21,1567094,0,3523.0,Manuf,CNHI,5.9637,0.8564,5.9653,21.5666,8.6193,8.6193,12.121,3.3451,2.1809,0.6271,14.2713,43.5157,1.3638,2.0489,-0.7101,-0.6081
Standard & Poor's Ratings Services,Caterpillar Inc.,AA,2016-11-21,18230,1,3531.0,Manuf,CAT,1.2769,0.6284,2.5538,28.6422,8.0513,9.3,15.7793,7.3153,5.3434,0.6001,16.95,46.3021,3.2205,6.299,-1.6704,-1.8943
Standard & Poor's Ratings Services,OSI Restaurant Partners LLC,BBB-,2016-11-18,874691,1,5812.0,Shops,OSI,1.5097,0.0111,0.2474,33.3702,4.6253,4.6253,11.6067,4.2783,3.1527,0.8366,4.8363,7.2308,2.6375,4.7828,-2.1708,-2.3072
Standard & Poor's Ratings Services,Adient US LLC,BBB,2016-11-17,1670541,1,2531.0,Manuf,ADNT,1.3359,0.4442,0.8175,9.5831,2.3049,2.3049,4.3538,2.2454,-9.2079,1.2959,-33.9447,-72.5558,-11.2844,-18.867,-15.2676,-14.9206
Standard & Poor's Ratings Services,Teck Resources Ltd.,BB,2016-11-17,886986,0,1000.0,Other,TECK,2.7839,0.366,0.5791,15.4861,8.633,8.633,25.1725,-40.1986,-29.9552,0.2381,-14.9306,-16.0155,-7.161,-9.4654,-0.9299,-0.7237
Standard & Poor's Ratings Services,CDK Global Inc.,BB+,2016-11-17,1609702,0,7370.0,BusEq,CDK,1.4113,0.7598,3.2352,41.1993,19.0343,19.0343,22.0609,17.4548,11.3166,0.8941,65.6034,-26.9933,10.4355,15.7549,0.3681,0.358
Standard & Poor's Ratings Services,Great Lakes Dredge & Dock Corp.,B-,2016-11-16,1372020,0,1600.0,Other,GLDD,1.6031,0.5783,1.401,11.1945,2.6794,2.6794,10.8604,-1.0137,-0.7223,0.9541,-2.4543,-3.7245,-0.6891,-1.035,-0.3243,-0.0174
Standard & Poor's Ratings Services,Lear Corp.,BBB-,2016-11-16,842162,1,2531.0,Manuf,LEA,1.3769,0.3903,0.6478,9.9926,6.5168,6.5168,8.4266,5.664,4.0936,1.9362,26.3711,40.5214,8.4607,16.0787,4.9927,3.9423
Standard & Poor's Ratings Services,Tenet Healthcare Corp.,BB-,2016-11-16,70318,0,8062.0,Hlth,THC,1.1099,0.9361,14.7987,35.8369,5.5713,5.6436,10.9257,0.8854,0.0723,0.9249,12.4841,-2.3245,0.5459,0.7974,1.0558,-1.4495
Standard & Poor's Ratings Services,"TreeHouse Foods, Inc.",BB,2016-11-14,1320695,0,2030.0,NoDur,THS,3.0754,0.3971,0.6667,20.0942,7.4757,7.4757,11.2837,5.3393,3.5835,0.8659,6.1945,-26.0196,3.1031,3.7346,0.9451,1.4258
Standard & Poor's Ratings Services,Houghton Mifflin Harcourt Publishers Inc.,B+,2016-11-14,1580156,0,2731.0,NoDur,HMHC,1.7426,0.391,0.6486,41.7976,-8.1954,-8.1954,13.2603,-10.8406,-9.4536,0.4536,-11.1714,24.6789,-4.288,-6.8037,-0.9454,-1.0746
Moody's Investors Service,"Tyson Foods, Inc.",BBB,2016-11-14,100493,1,2011.0,NoDur,TSN,1.7697,0.3918,0.6524,12.7356,7.6815,7.6815,9.593,7.0443,4.7938,1.6485,18.4123,-83.2316,7.9203,11.1982,0.7413,1.0271
Standard & Poor's Ratings Services,Las Vegas Sands LLC,BBB-,2016-11-11,1300514,1,7990.0,Other,LVS,1.4647,0.5235,1.11,47.6643,24.307,24.307,33.5301,22.4333,16.8207,0.5602,28.344,28.5851,11.4365,13.5054,-1.6468,-2.1037
Standard & Poor's Ratings Services,Boise Cascade Company,BB-,2016-11-10,1328581,0,5031.0,Shops,BCC,3.0372,0.3919,0.6445,13.2078,2.84,2.84,4.4142,2.2206,1.4362,2.91,9.7597,10.3792,4.1792,5.9348,-0.5376,-1.2538
Standard & Poor's Ratings Services,Turkcell Iletisim Hizmetleri A.S.,BBB-,2016-11-10,1071321,1,4812.0,Telcm,TKC,1.395,0.1948,0.2924,39.1555,17.5952,17.5952,30.6557,20.1314,16.1922,0.4872,13.2018,30.7706,7.2634,10.6304,-0.1141,-0.1566
Standard & Poor's Ratings Services,Comcast Corp.,A,2016-11-09,1166691,1,4841.0,Telcm,CMCSA,0.6768,0.4758,0.9749,41.1153,21.4709,21.4709,33.1204,17.9466,10.9556,0.4473,15.586,-15.2197,5.0506,8.1702,0.6361,0.3371
Moody's Investors Service,Eastman Kodak Company,B,2016-11-09,31235,0,3577.0,BusEq,KODK,2.7843,0.8683,6.6505,21.1315,2.995,2.995,11.0372,-1.9412,-4.437,0.8433,-65.0486,64.4231,-3.1338,-8.5678,0.8022,0.8549
Moody's Investors Service,"CDK Global, Inc.",BB+,2016-11-09,1609702,0,7370.0,BusEq,CDK,1.4113,0.7598,3.2352,41.1993,19.0343,19.0343,22.0609,17.4548,11.3166,0.8941,65.6034,-26.9933,10.4355,15.7549,0.3681,0.358
Moody's Investors Service,"Telefonica Finanzas Mexico, S.A. de C.V.",BBB-,2016-11-08,814052,1,4812.0,Telcm,TEF,0.9056,0.631,2.1799,72.6593,6.1352,6.1352,6.1352,0.6586,5.8133,0.384,1.0814,-2.3371,0.2423,0.3991,-0.4546,0.1433
Moody's Investors Service,"Las Vegas Sands, LLC",BB+,2016-11-08,1300514,0,7990.0,Other,LVS,1.4647,0.5235,1.11,47.6643,24.307,24.307,33.5301,22.4333,16.8207,0.5602,28.344,28.5851,11.4365,13.5054,-1.6468,-2.1037
Standard & Poor's Ratings Services,"Qorvo, Inc.",BB+,2016-11-08,1604778,0,3674.0,BusEq,QRVO,4.0375,0.165,0.1976,40.2016,0.4584,0.4584,26.3114,-0.1096,-1.1049,0.3958,-0.5769,-2.7433,-0.4373,-0.4817,1.5679,1.1665
Moody's Investors Service,STONEMOR PARTNERS L.P.,CCC+,2016-11-07,1286131,0,7200.0,Shops,STON,3.3775,0.6072,1.5575,84.119,0.63,0.63,4.627,-7.0111,-8.4285,0.1885,-11.4264,-34.576,-1.3763,-4.4887,-0.5983,-0.5535
