Rating Agency,Company,Rating,Date,CIK,Binary Rating,SIC Code,Sector_x,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share,Name,Symbol,Address,Sector_y,Industry,Full Time Employees,Description,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
Standard & Poor's Ratings Services,northrop grumman corp.,BBB,2011-03-29,1133421,1,3812.0,BusEq,NOC,1.3737,0.2267,0.3516,18.8111,10.0451,10.0451,12.0172,8.4071,7.2949,0.896,14.1709,219.3548,6.0618,10.9576,1.5492,1.0693,northrop grumman corp.,NOC,"2980 Fairview Park Drive
Falls Church, VA 22042
United States",Industrials,Aerospace & Defense,"101,000","Northrop Grumman Corporation operates as an aerospace and defense technology company in the United States, Asia/Pacific, Europe, and internationally. The company's Aeronautics Systems segment designs, develops, manufactures, integrates, and sustains aircraft systems. This segment also offers unmanned autonomous aircraft systems, including high-altitude long-endurance strategic ISR systems and vertical take-off and landing tactical ISR systems; and strategic long-range strike aircraft, tactical fighter and air dominance aircraft, and airborne battle management and command and control systems. Its Defense Systems segment designs, develops, integrates, and produces tactical weapons and missile defense solutions, and provides sustainment, modernization, and training services for manned and unmanned aircraft and electronics systems. It also offers integrated, all-domain command, and control battle management systems, precision strike weapons; high speed air-breathing and hypersonic systems; high-performance gun systems, ammunition, precision munitions and advanced fuzes; aircraft and mission systems logistics support, sustainment, operations and modernization; and warfighter training services. The company's Mission Systems segment offers command, control, communications and computers, intelligence, surveillance, and reconnaissance systems; radar, electro-optical/infrared and acoustic sensors; electronic warfare systems; advanced communications and network systems; cyber solutions; intelligence processing systems; navigation; and maritime power, propulsion, and payload launch systems. Its Space Systems segment offers satellites, spacecraft systems, subsystems, sensors, and payloads; ground systems; missile defense systems and interceptors; launch vehicles and related propulsion systems; and strategic missiles. Northrop Grumman Corporation was founded in 1939 and is based in Falls Church, Virginia.",27.5,7.8,5.4,14.4,Moderate Controversy Level,2.0,59th percentile,Medium
Standard & Poor's Ratings Services,oracle corp.,A+,2012-04-24,1341439,1,7370.0,BusEq,ORCL,2.7603,0.2685,0.3956,76.4247,33.7797,33.7797,41.6288,32.0336,23.9936,0.4844,21.2374,78.9051,11.623,15.5352,0.4756,0.4536,oracle corp,ORCL,"2300 Oracle Way
Austin, TX 78741
United States",Technology,Software - Infrastructure,"164,000","Oracle Corporation offers products and services that address enterprise information technology environments worldwide. Its Oracle cloud software as a service offering include various cloud software applications, including Oracle Fusion cloud enterprise resource planning (ERP), Oracle Fusion cloud enterprise performance management, Oracle Fusion cloud supply chain and manufacturing management, Oracle Fusion cloud human capital management, Oracle Cerner healthcare, Oracle Advertising, and NetSuite applications suite, as well as Oracle Fusion Sales, Service, and Marketing. The company also offers cloud-based industry solutions for various industries; Oracle application licenses; and Oracle license support services. In addition, it provides cloud and license business' infrastructure technologies, such as the Oracle Database and MySQL Database; Java, a software development language; and middleware, including development tools and others. The company's cloud and license business' infrastructure technologies also comprise cloud-based compute, storage, and networking capabilities; and Oracle autonomous database, MySQL HeatWave, Internet-of-Things, digital assistant, and blockchain. Further, it provides hardware products and other hardware-related software offerings, including Oracle engineered systems, enterprise servers, storage solutions, industry-specific hardware, virtualization software, operating systems, management software, and related hardware services; and consulting and customer services. The company markets and sells its cloud, license, hardware, support, and services offerings directly to businesses in various industries, government agencies, and educational institutions, as well as through indirect channels. The company has a collaboration with Amdocs Limited to empower customers on their journey towards cloud and digital adoption. Oracle Corporation was founded in 1977 and is headquartered in Austin, Texas.",13.9,0.5,5.6,7.8,Moderate Controversy Level,2.0,9th percentile,Low
Fitch Ratings,"interpublic group of companies, inc.",BBB,2012-06-15,51644,1,7311.0,Other,IPG,1.0921,0.3815,0.6767,8.4321,8.4321,8.4321,11.4133,6.9245,4.1676,0.4979,11.9894,-35.0798,2.1514,6.7756,0.4433,0.3977,"the interpublic group of companies, inc.",IPG,"909 Third Avenue
New York, NY 10022
United States",Communication Services,Advertising Agencies,"56,800","The Interpublic Group of Companies, Inc. provides advertising and marketing services worldwide. It operates in three segments: Media, Data & Engagement Solutions, Integrated Advertising & Creativity Led Solutions, and Specialized Communications & Experiential Solutions. The Media, Data & Engagement Solutions segment provides media and communications services, digital services and products, advertising and marketing technology, e-commerce services, data management and analytics, strategic consulting, and digital brand experience under the IPG Mediabrands, UM, Initiative, Kinesso, Acxiom, Huge, MRM, and R/GA brand names. The Integrated Advertising & Creativity Led Solutions segment offers advertising, corporate, and brand identity services; and strategic consulting under FCB, IPG Health, McCann Worldgroup, and MullenLowe Group brands. Specialized Communications & Experiential Solutions segment provides public relations and other specialized communications services, live events, sports and entertainment marketing, and strategic consulting under IPG DXTRA Health, The Weber Shandwick Collective, Golin, Jack Morton, Momentum, and Octagon brand names. The company was formerly known as McCann-Erickson Incorporated and changed its name to The Interpublic Group of Companies, Inc. in January 1961. The Interpublic Group of Companies, Inc. was founded in 1902 and is headquartered in New York, New York.",10.3,0.0,5.3,5.0,Low Controversy Level,1.0,3rd percentile,Low
Standard & Poor's Ratings Services,costco wholesale corp.,A+,2012-08-28,909832,1,5399.0,Shops,COST,1.1374,0.0906,0.1712,12.5693,2.7431,2.7431,3.7047,2.6801,1.6443,3.3226,12.2644,12.2644,5.7621,11.1529,0.9838,0.4292,costco wholesale corp,COST,"999 Lake Drive
Issaquah, WA 98027
United States",Consumer Defensive,Discount Stores,"316,000","Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, Mexico, Japan, the United Kingdom, Korea, Australia, Taiwan, China, Spain, France, Iceland, New Zealand, and Sweden. The company offers branded and private-label products in a range of merchandise categories. It offers merchandise, such as sundries, dry groceries, candies, coolers, freezers, deli, liquor, and tobacco; appliances, electronics, health and beauty aids, hardware, garden and patio products, sporting goods, tires, toys and seasonal products, office supplies, automotive care products, postages, tickets, apparel, small appliances, furniture, domestics, housewares, special order kiosks, and jewelry; and meat, produce, service deli, and bakery products. The company also operates gasoline, pharmacies, optical, food courts, hearing-aid centers, and tire installation centers; and offers business delivery, travel, grocery, and various other services online. It also operates e-commerce websites. The company was formerly known as Costco Companies, Inc. and changed its name to Costco Wholesale Corporation in August 1999. Costco Wholesale Corporation was founded in 1976 and is based in Issaquah, Washington.",23.3,6.5,5.6,11.2,Significant Controversy Level,3.0,41st percentile,Medium
Standard & Poor's Ratings Services,advanced micro devices inc.,B,2013-01-08,2488,0,3674.0,BusEq,AMD,1.6213,0.7911,3.7955,22.7776,-19.4762,-19.4762,-14.6809,-22.4456,-21.8185,1.3555,-219.8885,1065.766,-29.575,-45.9418,-0.9709,-0.8351,advanced micro devices,AMD,"2485 Augustine Drive
Santa Clara, CA 95054
United States",Technology,Semiconductors,"26,000","Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. It operates through Data Center, Client, Gaming, and Embedded segments. The company offers x86 microprocessors and graphics processing units (GPUs) as an accelerated processing unit, chipsets, data center, and professional GPUs; and embedded processors, and semi-custom system-on-chip (SoC) products, microprocessor and SoC development services and technology, data processing unites, field programmable gate arrays (FPGA), and adaptive SoC products. It provides processors under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, and AMD PRO A-Series brand names; graphics under the AMD Radeon graphics and AMD Embedded Radeon graphics; and professional graphics under the AMD Radeon Pro graphics brand name. In addition, the company offers data center graphics under the Radeon Instinct and Radeon PRO V-series brands, as well as servers under the AMD Instinct accelerators brand; server microprocessors under the AMD EPYC brands; low power solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series brands; FPGA products under the Virtex-6, Virtex-7, Virtex UltraScale+, Kintex-7, Kintex UltraScale, Kintex UltraScale+, Artix-7, Artix UltraScale+, Spartan-6, and Spartan-7 brands; adaptive SOCs under the Zynq-7000, Zynq UltraScale+ MPSoC, Zynq UltraScale+ RFSoCs, Versal HBM, Versal Premium, Versal Prime, Versal AI Core, Versal AI Edge, Vitis, and Vivado brands; and compute and network acceleration board products under the Alveo brand. It serves original equipment and design manufacturers, public cloud service providers, system integrators, independent distributors, and add-in-board manufacturers through its direct sales force, and sales representatives. Advanced Micro Devices, Inc. was incorporated in 1969 and is headquartered in Santa Clara, California.",,,,,,,,
Moody's Investors Service,cdw corporation,B-,2013-08-20,1402057,0,5045.0,Shops,CDW,1.3958,1.0019,-556.9863,16.4907,4.9019,4.9019,7.1992,0.2947,0.1781,1.6091,-234.2403,-0.444,0.2865,0.4433,-1.4525,-1.4805,cdw corporation,CDW,"200 North Milwaukee Avenue
Vernon Hills, IL 60061
United States",Technology,Information Technology Services,"11,400","CDW Corporation provides information technology (IT) solutions in the United States, the United Kingdom, and Canada. It operates through three segments: Corporate, Small Business, and Public. The company offers discrete hardware and software products and services, as well as integrated IT solutions, including on-premise and cloud capabilities across hybrid infrastructure, digital experience, and security. It also provides hardware products comprising notebooks/mobile devices, tablets, network communications, desktop computers, collaboration, data storage and servers, and others; and software products, such as cloud solutions, software assurance, application suites, security, virtualization, operating systems, and network management. In addition, the company offers advisory and design, software development, implementation, managed, professional, configuration, partner, and telecom services, as well as warranties; delivers and manages mission critical software, systems, and network solutions; and implementation and installation, and repair services to its customers through various third-party service providers. It serves government, education, and healthcare customers; and small, medium, and large business customers. CDW Corporation was founded in 1984 and is headquartered in Vernon Hills, Illinois.",9.2,2.5,3.5,3.2,None Controversy Level,,2nd percentile,Negligible
Standard & Poor's Ratings Services,sba communications corp.,B,2013-08-28,1034054,0,6798.0,Money,SBAC,0.4502,0.882,8.2024,70.7042,15.4228,15.4228,60.2532,-18.5615,-18.975,0.1442,-28.13,7.4033,-2.7764,-3.3194,0.6025,0.7984,sba communications corp,SBAC,"8051 Congress Avenue
Boca Raton, FL 33487-1307
United States",Real Estate,REIT - Specialty,"1,787","SBA Communications Corporation is a leading independent owner and operator of wireless communications infrastructure including towers, buildings, rooftops, distributed antenna systems (DAS) and small cells. With a portfolio of more than 39,000 communications sites throughout the Americas, Africa and in Asia, SBA is listed on NASDAQ under the symbol SBAC. Our organization is part of the S&P 500 and is one of the top Real Estate Investment Trusts (REITs) by market capitalization.",11.6,3.1,5.2,3.2,None Controversy Level,,4th percentile,Low
Standard & Poor's Ratings Services,union pacific corp.,A,2013-12-11,100885,1,4011.0,Other,UNP,1.1587,0.3069,0.4526,50.129,32.2326,32.2326,40.6432,30.1921,18.8426,0.4438,19.837,19.837,8.3621,13.7492,0.4702,-0.1499,union pacific corp.,UNP,"1400 Douglas Street
Omaha, NE 68179
United States",Industrials,Railroads,"31,052","Union Pacific Corporation, through its subsidiary, Union Pacific Railroad Company, operates in the railroad business in the United States. The company offers transportation services for grain and grain products, fertilizers, food and refrigerated products, and coal and renewables to grain processors, animal feeders, ethanol producers, renewable biofuel producers, and other agricultural users; and construction products, industrial chemicals, plastics, forest products, specialized products, metals and ores, petroleum, liquid petroleum gases, soda ash, and sand, as well as finished automobiles, automotive parts, and merchandise in intermodal containers. Union Pacific Corporation was founded in 1862 and is headquartered in Omaha, Nebraska.",23.5,7.3,5.6,10.6,Moderate Controversy Level,2.0,42nd percentile,Medium
Egan-Jones Ratings Company,teradyne inc,A-,2014-01-28,97210,1,3825.0,BusEq,TER,4.1503,0.0877,0.0975,53.4804,17.3453,17.3453,26.1284,16.0541,13.1009,0.682,12.205,19.5502,8.9345,11.1341,0.5383,0.4007,"teradyne, inc.",TER,"600 Riverpark Drive
North Reading, MA 01864
United States",Technology,Semiconductor Equipment & Materials,"6,600","Teradyne, Inc. designs, develops, manufactures, and sells automated test systems and robotics products worldwide. It operates through four segments; Semiconductor Test, System Test, Robotics, and Wireless Test. The Semiconductor Test segment offers products and services for wafer level and device package testing of semiconductor devices in automotive, industrial, communications, consumer, smartphones, cloud, computer and electronic game, and other applications. This segment also provides FLEX test platform systems; J750 test system to address the volume semiconductor devices, including microcontrollers; Magnum platform that tests memory devices, such as flash memory and DRAM; and ETS platform for semiconductor manufacturers, and assembly and test subcontractors in the analog/mixed signal markets. It serves integrated device manufacturers that integrate the fabrication of silicon wafers into their business; fabless companies that outsource the manufacturing of silicon wafers; foundries; and semiconductor assembly and test providers. The System Test segment offers defense/aerospace test instrumentation and systems; storage and system level test systems; and circuit-board test and inspection systems. The Wireless Test segment provides wireless test solutions for silicon validation, wireless module manufacturing, and wireless end device manufacturing under the LitePoint brand. This segment also offers IQxel-MX and IQxel-MW7G series products for edge measurement performance in the manufacturing of connectivity products; IQxstream-5G and IQgig-5G family products to support 4G and 5G technologies; and IQgig-UWB+ for certification and manufacturing test support for ultra wideband products. The Robotics segment provides collaborative robotic arms, autonomous mobile robots, and advanced robotic control software for manufacturing, logistics, and industrial customers. The company was incorporated in 1960 and is headquartered in North Reading, Massachusetts.",17.0,7.1,5.0,4.9,None Controversy Level,,17th percentile,Low
Egan-Jones Ratings Company,vertex pharmaceuticals,BBB,2014-02-10,875320,1,2834.0,Hlth,VRTX,3.9931,0.2653,0.3735,89.2509,-50.3317,-50.3317,-46.3411,-51.6549,-36.7192,0.5226,-37.1292,-37.9974,-21.7168,-27.2804,-1.514,-1.412,vertex pharmaceuticals inc,VRTX,"50 Northern Avenue
Boston, MA 02210
United States",Healthcare,Biotechnology,"5,400","Vertex Pharmaceuticals Incorporated, a biotechnology company, engages in developing and commercializing therapies for treating cystic fibrosis (CF). It markets TRIKAFTA/KAFTRIO for people with CF with at least one F508del mutation for 2 years of age or older; SYMDEKO/SYMKEVI for people with CF for 6 years of age or older; ORKAMBI for CF patients 1 year or older; and KALYDECO for the treatment of patients with 1 year or older who have CF with ivacaftor. The company's pipeline includes VX-522, a CFTR mRNA therapeutic designed to treat the underlying cause of CF, which is in Phase 1 clinical trial; VX-548, a non-opioid medicine for the treatment of acute and neuropathic pain which is in Phase 3 clinical trial; Exa-cel, for the treatment of sickle cell disease and transfusion-dependent beta thalassemia which is in Phase 2/3 clinical trial. In addition, it provides inaxaplin for the treatment of APOL1-mediated focal segmental glomerulosclerosis and co-morbidities, such as hypertension which is in single Phase 2/3; VX- 880 and VX-264, treatment for Type 1 Diabetes which is in Phase 1/2 clinical trial; VX-970, which is in Phase 2 clinical trial for the treatment of cancer; and VX-803 and VX-984 for treatment of cancer in Phase 1 clinical trial. Further, it sells the products to specialty pharmacy and specialty distributors in the United States, as well as retail pharmacies, hospitals, and clinics. Additionally, the company has collaborations with CRISPR Therapeutics AG.; Moderna, Inc.; Entrada Therapeutics, Inc.; Arbor Biotechnologies, Inc.; Mammoth Biosciences, Inc.; and Verve Therapeutics., as well as collaborations with Tevard Biosciences to develop novel tRNA-based therapies for duchenne muscular dystrophy. Vertex Pharmaceuticals Incorporated was founded in 1989 and is headquartered in Boston, Massachusetts.",22.7,0.8,6.6,15.4,Moderate Controversy Level,2.0,39th percentile,Medium
