Company,Name
idex corporation,idex corporation
abbott laboratories,abbott laboratories
"fidelity national information services, inc.","fidelity national information services, inc."
kimberly-clark corp.,kimberly-clark corp.
southwest airlines co,southwest airlines co.
illinois tool works inc,illinois tool works inc.
ebay inc.,ebay inc
"yum! brands, inc.","yum! brands, inc."
duke energy corporation,duke energy corporation
microsoft corp.,microsoft corp
"united rentals, inc","united rentals, inc."
snap-on incorporated,snap-on incorporated
"leidos holdings, inc.","leidos holdings, inc."
mgm resorts international,mgm resorts international
cummins inc.,cummins inc.
entergy corporation,entergy corporation
archer-daniels-midland company,archer daniels midland company
biogen inc.,biogen inc.
caterpillar inc,caterpillar inc.
johnson & johnson,johnson & johnson
amgen inc.,amgen inc
duke energy corporation,duke energy corporation
baxter international inc.,baxter international inc.
"ameriprise financial, inc","ameriprise financial, inc."
"builders firstsource, inc.","builders firstsource, inc."
"hca healthcare, inc.","hca healthcare, inc."
emerson electric co.,emerson electric co.
"roper technologies, inc","roper technologies, inc."
abbott laboratories,abbott laboratories
masco corporation,masco corporation
"nasdaq, inc","nasdaq, inc."
"tesla, inc.","tesla, inc."
stryker corporation,stryker corporation
texas instruments incorporated,texas instruments incorporated
corning incorporated,corning incorporated
moody's corporation,moody's corporation
dte energy company,dte energy company
dover corporation,dover corporation
nucor corporation,nucor corporation
3m company,3m company
danaher corporation,danaher corporation
omnicom group inc,omnicom group inc.
halliburton company,halliburton company
"hasbro, inc","hasbro, inc."
hormel foods corporation,hormel foods corporation
atmos energy corporation,atmos energy corporation
"mohawk industries, inc.","mohawk industries, inc."
"nrg energy, inc.","nrg energy, inc."
archer-daniels-midland company,archer daniels midland company
"cisco systems, inc.","cisco systems, inc."
vulcan materials company,vulcan materials company
"martin marietta materials,",martin marietta materials
edison international,edison international
albemarle corporation,albemarle corporation
albemarle corporation,albemarle corporation
norfolk southern corp.,norfolk southern corp.
danaher corporation,danaher corporation
boston scientific corp.,boston scientific corp.
eli lilly & co.,eli lilly & co.
hess corporation,hess corporation
emerson electric co.,emerson electric co.
entergy corporation,entergy corporation
"cisco systems, inc","cisco systems, inc."
"general mills, inc","general mills, inc."
"ppg industries, inc","ppg industries, inc."
oracle corp.,oracle corp
edison international,edison international
"delta air lines, inc","delta air lines, inc."
johnson & johnson,johnson & johnson
"analog devices, inc","analog devices, inc."
"constellation brands, inc","constellation brands, inc."
csx corporation,csx corporation
"pepsico, inc","pepsico, inc."
"motorola solutions, inc","motorola solutions, inc."
"walgreens boots alliance, inc.","walgreens boots alliance, inc"
target corporation,target corporation
williams companies inc.,williams companies inc.
hologic inc.,hologic inc
ppl corporation,ppl corporation
"autozone, inc","autozone, inc."
campbell soup company,campbell soup company
"darden restaurants, inc","darden restaurants, inc."
jabil inc,jabil inc.
"stanley black & decker, inc.","stanley black & decker, inc."
cvs health corporation,cvs health corporation
"eog resources, inc","eog resources, inc."
"general mills, inc.","general mills, inc."
unitedhealth group incorporated,unitedhealth group incorporated
starbucks corp.,starbucks corp
microchip technology inc.,microchip technology inc
"darden restaurants, inc.","darden restaurants, inc."
freeport-mcmoran inc.,freeport-mcmoran inc.
zoetis inc.,zoetis inc.
conocophillips,conocophillips
vulcan materials company,vulcan materials company
"roper technologies, inc.","roper technologies, inc."
"rockwell automation, inc.","rockwell automation, inc."
las vegas sands corp.,las vegas sands corp.
intuit inc.,intuit inc
"analog devices, inc.","analog devices, inc."
fmc corporation,fmc corporation
"t-mobile us, inc","t-mobile us, inc."
ameren corporation,ameren corporation
"rockwell automation, inc","rockwell automation, inc."
intel corp.,intel corp
"honeywell international, inc.","honeywell international, inc."
"autozone, inc.","autozone, inc."
marathon petroleum corporation,marathon petroleum corporation
marathon oil corporation,marathon oil corporation
borgwarner inc.,borgwarner inc.
illinois tool works inc.,illinois tool works inc.
masco corporation,masco corporation
targa resources corp.,targa resources corp.
3m company,3m company
stryker corporation,stryker corporation
fedex corporation,fedex corporation
paccar inc,paccar inc
lkq corporation,lkq corporation
target corporation,target corporation
exelon corporation,exelon corporation
"yum! brands, inc.","yum! brands, inc."
pfizer inc.,pfizer inc.
"eog resources, inc.","eog resources, inc."
devon energy corporation,devon energy corporation
ppl corporation,ppl corporation
"micron technology, inc.","micron technology, inc."
paccar inc.,paccar inc
ball corporation,ball corporation
quest diagnostics inc,quest diagnostics inc.
sysco corporation,sysco corporation
eastman chemical company,eastman chemical company
conocophillips,conocophillips
amgen inc.,amgen inc
borgwarner inc,borgwarner inc.
alliant energy corporation,alliant energy corporation
cummins inc.,cummins inc.
chevron corporation,chevron corporation
pg&e corporation,pg&e corporation
idex corporation,idex corporation
baxter international inc,baxter international inc.
sysco corporation,sysco corporation
"huntington ingalls industries, inc.","huntington ingalls industries, inc."
bristol-myers squibb co.,bristol-myers squibb co.
"nrg energy, inc.","nrg energy, inc."
lockheed martin corp.,lockheed martin corp.
te connectivity ltd,te connectivity ltd
mgm resorts international,mgm resorts international
hilton worldwide holdings inc,hilton worldwide holdings inc.
apple inc.,apple inc.
phillips 66,phillips 66
mckesson corporation,mckesson corporation
fedex corporation,fedex corporation
pfizer inc.,pfizer inc.
"oneok, inc.","oneok, inc."
ameren corporation,ameren corporation
"fiserv, inc.","fiserv, inc."
exelon corporation,exelon corporation
"constellation brands, inc.","constellation brands, inc."
"o'reilly automotive, inc.","o'reilly automotive, inc."
biogen inc.,biogen inc.
"cardinal health, inc","cardinal health, inc."
cvs health corporation,cvs health corporation
halliburton company,halliburton company
davita inc.,davita inc.
marathon oil corporation,marathon oil corporation
exxon mobil corporation,exxon mobil corporation
avery dennison corp.,avery dennison corp.
