Company,Name,Score
idex corporation,idex corporation,100
abbott laboratories,abbott laboratories,100
"fidelity national information services, inc.","fidelity national information services, inc.",100
kimberly-clark corp.,kimberly-clark corp.,100
southwest airlines co,southwest airlines co.,100
illinois tool works inc,illinois tool works inc.,100
ebay inc.,ebay inc,100
"yum! brands, inc.","yum! brands, inc.",100
duke energy corporation,duke energy corporation,100
microsoft corp.,microsoft corp,100
"united rentals, inc","united rentals, inc.",100
snap-on incorporated,snap-on incorporated,100
"leidos holdings, inc.","leidos holdings, inc.",100
mgm resorts international,mgm resorts international,100
cummins inc.,cummins inc.,100
entergy corporation,entergy corporation,100
archer-daniels-midland company,archer daniels midland company,100
biogen inc.,biogen inc.,100
caterpillar inc,caterpillar inc.,100
johnson & johnson,johnson & johnson,100
amgen inc.,amgen inc,100
duke energy corporation,duke energy corporation,100
baxter international inc.,baxter international inc.,100
"ameriprise financial, inc","ameriprise financial, inc.",100
"builders firstsource, inc.","builders firstsource, inc.",100
"hca healthcare, inc.","hca healthcare, inc.",100
emerson electric co.,emerson electric co.,100
"roper technologies, inc","roper technologies, inc.",100
abbott laboratories,abbott laboratories,100
masco corporation,masco corporation,100
"nasdaq, inc","nasdaq, inc.",100
"tesla, inc.","tesla, inc.",100
stryker corporation,stryker corporation,100
texas instruments incorporated,texas instruments incorporated,100
corning incorporated,corning incorporated,100
moody's corporation,moody's corporation,100
dte energy company,dte energy company,100
dover corporation,dover corporation,100
nucor corporation,nucor corporation,100
3m company,3m company,100
danaher corporation,danaher corporation,100
omnicom group inc,omnicom group inc.,100
halliburton company,halliburton company,100
"hasbro, inc","hasbro, inc.",100
hormel foods corporation,hormel foods corporation,100
atmos energy corporation,atmos energy corporation,100
"mohawk industries, inc.","mohawk industries, inc.",100
"nrg energy, inc.","nrg energy, inc.",100
archer-daniels-midland company,archer daniels midland company,100
"cisco systems, inc.","cisco systems, inc.",100
vulcan materials company,vulcan materials company,100
"martin marietta materials,",martin marietta materials,100
edison international,edison international,100
albemarle corporation,albemarle corporation,100
albemarle corporation,albemarle corporation,100
norfolk southern corp.,norfolk southern corp.,100
danaher corporation,danaher corporation,100
boston scientific corp.,boston scientific corp.,100
eli lilly & co.,eli lilly & co.,100
hess corporation,hess corporation,100
emerson electric co.,emerson electric co.,100
entergy corporation,entergy corporation,100
"cisco systems, inc","cisco systems, inc.",100
"general mills, inc","general mills, inc.",100
"ppg industries, inc","ppg industries, inc.",100
oracle corp.,oracle corp,100
edison international,edison international,100
"delta air lines, inc","delta air lines, inc.",100
johnson & johnson,johnson & johnson,100
"analog devices, inc","analog devices, inc.",100
"constellation brands, inc","constellation brands, inc.",100
csx corporation,csx corporation,100
"pepsico, inc","pepsico, inc.",100
"motorola solutions, inc","motorola solutions, inc.",100
"walgreens boots alliance, inc.","walgreens boots alliance, inc",100
target corporation,target corporation,100
williams companies inc.,williams companies inc.,100
hologic inc.,hologic inc,100
ppl corporation,ppl corporation,100
"autozone, inc","autozone, inc.",100
campbell soup company,campbell soup company,100
"darden restaurants, inc","darden restaurants, inc.",100
jabil inc,jabil inc.,100
"stanley black & decker, inc.","stanley black & decker, inc.",100
cvs health corporation,cvs health corporation,100
"eog resources, inc","eog resources, inc.",100
"general mills, inc.","general mills, inc.",100
unitedhealth group incorporated,unitedhealth group incorporated,100
starbucks corp.,starbucks corp,100
microchip technology inc.,microchip technology inc,100
"darden restaurants, inc.","darden restaurants, inc.",100
